# Canon story-cover image inventory (CP-09c Part D, B-4). One cover per canon story.
# columns: title_zh<TAB>canon_id<TAB>search_term(en)<TAB>set(tier)<TAB>abstract<TAB>desc
# title_zh = review key (--decided skips by it); search_term drives the Commons query;
# abstract=1 -> fetch --n-abstract (default 20); desc = English title + plot shown in the sheet.
掩耳盗铃	C1-yaneidaoling	bronze bell	C1	1	“Covering One's Ears While Stealing a Bell” — A thief wants to steal a large bell but cannot carry it. He decides to smash it into pieces to transport it. Afraid the noise will alert others, he covers his own ears while smashing. He is caught, having fooled only himself. Moral: Idiom condemns self-deception and ignoring obvious facts.
亡羊补牢	C1-wangyangbulao	sheep pen fold	C1		“Mending the Pen After Losing Sheep” — A farmer's sheep pen has a gap in the fence. A wolf enters at night and takes a sheep. Neighbors urge the farmer to repair the fence but he delays. More sheep are taken before he finally fixes the pen. Moral: Idiom means it is never too late to correct a mistake.
井底之蛙	C1-jingdizhiwa	frog in well	C1		“The Frog at the Bottom of the Well” — A frog lives contentedly at the bottom of a shallow well. A sea turtle visits and describes the vastness of the ocean. The frog is stunned to learn how small his world truly is. The frog realizes his perspective was narrow and limited. Moral: Idiom describes a person with a narrow outlook.
刻舟求剑	C1-kezhouqiujian	ancient chinese sword	C1		“Marking the Boat to Find a Lost Sword” — A man on a moving boat drops his sword into the river. He calmly carves a mark on the side of the boat. When the boat reaches shore, he dives at the mark to retrieve the sword. The sword is long gone; the boat has moved far downstream. Moral: Idiom mocks rigid thinking that ignores changing circumstances.
叶公好龙	C1-yegonghaolong	chinese dragon carving	C1		“Lord Ye Loves Dragons” — Lord Ye fills his home with dragon carvings and paintings. A real dragon in heaven hears of Lord Ye's devotion. The dragon descends to visit, peering through the window. Lord Ye flees in terror, revealing his love was only superficial. Moral: Idiom describes someone who professes love for something they actually fear.
狐假虎威	C1-hujiahuwei	fox and tiger	C1	1	“The Fox Borrows the Tiger's Might” — A tiger catches a fox and is about to eat it. The fox claims to be the king of beasts, sent by heaven. The fox walks ahead with the tiger following; all animals flee in terror. The tiger thinks they fear the fox, not realizing they fear the tiger behind it. Moral: Idiom describes someone using a powerful patron to intimidate others.
塞翁失马	C1-saiwengshima	horse running free	C1	1	“The Old Man at the Frontier Lost His Horse” — An old man's horse runs away; neighbors come to console him. He says it may be a blessing. The horse returns with several wild horses. His son breaks a leg riding; the old man says it may be a blessing. War comes and the son avoids conscription because of the injury. Moral: Idiom teaches that fortune and misfortune are intertwined and unpredictable.
杯弓蛇影	C1-beigongsheying	wine cup bronze	C1	1	“Mistaking a Bow's Reflection for a Snake” — A man sees what appears to be a snake swimming in his wine cup. He drinks it anyway and becomes severely ill from fear. His friend discovers the snake was the reflection of a bow hanging on the wall. The man's illness vanishes instantly upon learning the truth. Moral: Idiom warns against groundless fears and self-inflicted anxiety.
对牛弹琴	C1-duiniutanqin	ox water buffalo field	C1		“Playing the Lute to a Cow” — A musician plays an elegant melody before a cow. The cow continues eating grass, showing no reaction. The musician changes to sounds imitating insects and a calf. The cow pricks up its ears, understanding only sounds relevant to it. Moral: Idiom means speaking to the wrong audience or reasoning with an uncomprehending listener.
画龙点睛	C1-hualongdianjing	painted chinese dragon	C1	1	“Adding Pupils to a Painted Dragon” — A famous painter paints four dragons on a temple wall without pupils. He explains that adding pupils would make them fly away. People insist and he dots the pupils of two dragons. Thunder roars and the two dragons come alive, flying into the sky. Moral: Idiom means adding the finishing touch that brings a work to life.
杞人忧天	C1-qirenyoutian	sky clouds looking up	C1	1	“The Man of Qi Who Worried About the Sky” — A man from the state of Qi constantly fears the sky will fall down. He cannot eat or sleep because of his anxiety. A friend explains the sky is just accumulated air and cannot fall. The man finally understands and stops worrying. Moral: Idiom mocks unnecessary and groundless worrying.
自相矛盾	C1-zixiangmaodun	spear and shield	C1	1	“Self-Contradiction” — A merchant boasts his shields can block any weapon. He also claims his spears can pierce any shield. A bystander asks what happens when his spear strikes his shield. The merchant is speechless and cannot answer. Moral: Idiom describes a logical contradiction or inconsistency.
东施效颦	C1-dongshixiaopin	woman frowning face	C1	1	“Dong Shi Imitates a Frown” — The beauty Xi Shi frowns due to chest pain and still looks lovely. An ugly woman named Dong Shi tries to copy the frown. Dong Shi's imitated expression makes her look even more grotesque. People flee at the sight of her, and she is ridiculed. Moral: Idiom warns against blind imitation without understanding.
朝三暮四	C1-zhaosanmusi	monkey eating fruit	C1	1	“Three in the Morning, Four in the Evening” — A monkey keeper tells his monkeys they will get three nuts in the morning and four at night. The monkeys are furious at the morning ration. He changes the plan to four in the morning and three at night. The monkeys are delighted, not realizing the total is unchanged. Moral: Idiom describes someone who is fickle or changes their mind frequently; also a lesson about being fooled by appearances.
南辕北辙	C1-nanyuanbeizhe	horse cart carriage	C1	1	“Going South While Driving North” — A man wants to travel south to the state of Chu. He drives his carriage north and insists he will still reach Chu. Passersby tell him he is heading the wrong way. The further he travels, the further from Chu he gets. Moral: Idiom means acting contrary to one's stated goal.
鹬蚌相争	C1-yubangxiangzheng	snipe wading bird	C1		“The Snipe and the Clam Fight” — A clam opens its shell to bask in the sun on a riverbank. A snipe pecks at the clam's flesh; the clam snaps shut on the snipe's beak. Neither will let go, locked in a stalemate. A fisherman comes along and catches them both easily. Moral: Idiom warns that quarrels between two parties can allow a third party to benefit.
郑人买履	C1-zhengrenmailv	straw sandals shoes	C1		“The Man from Zheng Buys Shoes” — A man from Zheng measures his foot for new shoes and writes down the size. At the market, he realizes he left the measurement at home. He rushes home to get the paper instead of trying the shoes on. By the time he returns, the market has closed. Moral: Idiom mocks rigid adherence to rules over practical sense.
牛郎织女	C2-niulangzhinv	milky way stars night	C2		“The Cowherd and the Weaver Girl” — A cowherd falls in love with Zhinü, a heavenly weaver fairy. They marry but the Queen Mother of the West separates them with the Milky Way. Magpies form a bridge across the Milky Way once a year. They reunite on the seventh day of the seventh lunar month. Moral: Associated with the Qixi Festival (Chinese Valentine's Day).
女娲补天	C2-nvwabutian	colorful sky clouds	C2		“Nüwa Mends the Sky” — A great battle breaks one of the pillars holding up the sky, causing chaos. Fires, floods, and wild beasts torment humanity. The goddess Nüwa melts five-colored stones to patch the holes in the sky. She severs a giant turtle's legs to support the four corners of heaven. Moral: Explains the origin of the sky's colors and earth's stability.
盘古开天	C2-pangukaitian	universe stars cosmos	C2	1	“Pangu Creates the World” — In the beginning, the universe is a cosmic egg containing chaos. Pangu sleeps inside for 18,000 years and then awakens. He separates heaven and earth with his axe and holds them apart. Upon his death, his body becomes mountains, rivers, the sun, the moon, and all life. Moral: Foundational Chinese creation myth explaining the origin of the world.
夸父逐日	C2-kuafuzhuri	setting sun horizon	C2	1	“Kuafu Chases the Sun” — The giant Kuafu decides to chase and catch the sun. He runs across the land but grows desperately thirsty. He drinks the Yellow River and Wei River dry but it is not enough. He dies of thirst and his staff transforms into a peach forest. Moral: Symbolizes heroic ambition, perseverance, and the value of striving.
大禹治水	C2-dayuzhishui	river flood water	C2		“Yu the Great Controls the Floods” — Ancient China suffers from devastating floods; Gun tries to dam them but fails. His son Yu changes strategy, digging channels to guide water to the sea. Yu works for 13 years, passing his own home three times without entering. He succeeds in controlling the floods and becomes the founder of the Xia dynasty. Moral: Represents selfless dedication to the greater good.
梁山伯与祝英台	C2-liangshanbozhuyingtai	two butterflies	C2		“The Butterfly Lovers” — Zhu Yingtai disguises herself as a boy to attend school. She becomes close friends with classmate Liang Shanbo and falls in love. Liang learns her true identity too late; her family has already arranged her marriage. Liang dies of grief; at his grave, Zhu leaps in and both souls transform into butterflies. Moral: Known as the Chinese Romeo and Juliet; symbol of eternal love.
孟姜女哭长城	C2-mengjiangnvkuchangcheng	great wall of china	C2		“Meng Jiangnü Weeps at the Great Wall” — Meng Jiangnü's husband is conscripted to build the Great Wall. She journeys far to bring him winter clothing. She learns he has died and his body is buried within the wall. Her grieving is so intense that a section of the wall collapses, revealing his remains. Moral: One of China's Four Great Folktales; symbol of wifely devotion and tragedy of forced labor.
八仙过海	C2-baxianguohai	sea waves ocean	C2		“The Eight Immortals Cross the Sea” — Eight immortals need to cross the sea to attend a celestial banquet. Each immortal uses their unique magical item as a vessel to cross. A dragon prince steals one immortal, sparking a battle. The immortals unite their powers, defeat the dragon, and continue on. Moral: Proverbial expression meaning each person shows their unique skill.
哪吒闹海	C2-nezhanohai	sea dragon waves	C2		“Nezha Stirs Up the Sea” — Nezha is born as a miraculous child with supernatural powers. He fights and slays a dragon king's son who had been terrorizing villagers. The dragon kings demand his life in revenge. Nezha sacrifices himself but is reborn from a lotus flower. Moral: Popular protective deity figure in Chinese folk religion; symbolizes rebellion against tyranny.
白蛇传	C2-baishezhuan	white snake	C2		“Legend of the White Snake” — A white snake spirit transforms into a beautiful woman named Bai Suzhen. She falls in love with and marries the scholar Xu Xian. A Buddhist monk named Fahai exposes her true identity. Fahai imprisons Bai Suzhen under the Leifeng Pagoda. Moral: One of China's Four Great Folktales; explores themes of love transcending nature.
精卫填海	C2-jingweitianhai	bird carrying stone	C2	1	“Jingwei Fills the Sea” — The daughter of Emperor Yan drowns while playing in the Eastern Sea. Her spirit transforms into the Jingwei bird. The bird carries twigs and pebbles from the mountains to drop into the sea. Vowing to fill the sea so no one else will drown, she persists endlessly. Moral: Symbol of dogged determination against impossible odds.
钟馗捉鬼	C2-zhongkuizhuogui	chinese deity mask	C2		“Zhong Kui Captures Ghosts” — A scholar named Zhong Kui takes the imperial exam but is cheated of first place. In shame, he kills himself but the emperor honors him posthumously. His spirit becomes the king of ghosts, tasked with subduing evil spirits. His image is hung on doors to ward off demons. Moral: Protective folk deity; his image is a traditional New Year talisman against evil.
愚公移山	C3-yugongyishan	mountain range	C3		“The Foolish Old Man Removes the Mountains” — Two great mountains block the entrance to Old Fool's home. He decides to dig them away with his family using only hoes. A wise man mocks him, but Old Fool says his descendants will continue the work. The gods are moved by his determination and move the mountains for him. Moral: Teaches that perseverance can overcome any obstacle.
盲人摸象	C3-mangrenmoxiang	elephant	C3		“The Blind Men and the Elephant” — Several blind men each touch a different part of an elephant. One feels the trunk and says it is like a snake. Another feels the leg and says it is like a tree trunk. They argue fiercely, each convinced only their description is correct. Moral: Teaches the danger of drawing conclusions from limited experience.
老马识途	C3-laomashitu	horse walking path	C3		“An Old Horse Knows the Way” — An army returning from a campaign gets lost in unfamiliar terrain. The minister Guan Zhong suggests releasing the old warhorses. The old horses find the path back to the camp on their own. The army follows the horses and returns safely. Moral: Idiom means experience brings wisdom; old hands know the ropes.
螳臂当车	C3-tangbidangche	praying mantis	C3	1	“A Mantis Tries to Stop a Carriage” — A praying mantis stands on a road, raising its forelegs defiantly. A heavy carriage approaches but the mantis refuses to move aside. The mantis is crushed under the wheels. The story warns against overestimating one's limited strength. Moral: Idiom warns against arrogantly opposing overwhelming force.
黔驴技穷	C3-qianlvjiqiong	donkey	C3	1	“The Donkey of Guizhou Has Exhausted Its Tricks” — A tiger in Guizhou encounters a donkey for the first time and is frightened. The donkey brays loudly; the tiger retreats in alarm. After observing the donkey over time, the tiger realizes it can only bray and kick. The tiger attacks and devours the donkey. Moral: Idiom means someone has exhausted all their tricks and is now powerless.
负荆请罪	C4-fujingqingzui	thorn branches	C4	1	“Carrying Thorns to Beg Forgiveness” — General Lian Po resents minister Lin Xiangru for outranking him. Lin avoids confrontation publicly to preserve unity for the state. Lian Po realizes his pettiness and strips to his bare shoulders. He carries thorny branches on his back and kneels before Lin to apologize. Moral: Model for genuine repentance and putting state interests above personal pride.
完璧归赵	C4-wanbiguizhao	jade bi disc	C4		“Returning the Jade Intact to Zhao” — The King of Qin offers 15 cities to Zhao for their priceless jade disk. Minister Lin Xiangru is sent to deliver it, suspecting a trick. The Qin king handles the jade but shows no intention of giving cities. Lin threatens to smash the jade and secretly returns it intact to Zhao. Moral: Idiom means returning something to its owner in perfect condition.
指鹿为马	C4-zhiluweima	deer stag	C4	1	“Calling a Deer a Horse” — Chancellor Zhao Gao presents a deer to the young emperor and calls it a horse. The emperor says it is clearly a deer. Zhao Gao asks the ministers for their opinion to test their loyalty. Those who contradict Zhao Gao are later executed; those who agree survive. Moral: Idiom describes deliberately distorting the truth and abusing power.
纸上谈兵	C4-zhishangtanbing	ancient scroll map	C4	1	“Discussing Warfare on Paper” — Zhao Kuo is a brilliant military theorist who can recite every strategy. He is appointed general despite having no actual combat experience. He ignores the advice of seasoned officers and changes battle plans on theory alone. His army is annihilated at Changping and he is killed in battle. Moral: Idiom criticizes empty theorizing without practical experience.
卧薪尝胆	C4-woxinchangdan	firewood brushwood	C4	1	“Sleeping on Brushwood and Tasting Gall” — King Goujian of Yue is defeated and forced to serve as the enemy king's servant. After being released, he sleeps on brushwood and tastes bitter gall daily. He endures hardship to remember his humiliation and rebuild his strength. After years of preparation, he defeats his enemy and reclaims his kingdom. Moral: Idiom celebrates enduring hardship to achieve a great goal.
三顾茅庐	C4-sangumaolu	thatched hut cottage	C4		“Three Visits to the Thatched Hut” — Warlord Liu Bei seeks to recruit the brilliant strategist Zhuge Liang. Twice he travels to Zhuge's thatched hut but misses him. On the third visit, Zhuge Liang is home and impressed by Liu Bei's sincerity. Zhuge Liang agrees to serve and helps establish the Shu Han kingdom. Moral: Symbol of sincere effort to recruit talent.
望梅止渴	C4-wangmeizhike	plum fruit tree	C4	1	“Quenching Thirst by Gazing at Plums” — Cao Cao's army is marching under scorching heat with no water source. Soldiers are collapsing from thirst and morale is plummeting. Cao Cao announces there is a plum forest ahead with sour fruit. The mere thought makes the soldiers salivate and they find strength to continue. Moral: Idiom means using wishful thinking to comfort oneself.
破釜沉舟	C4-pofuchenzhou	wooden boat river	C4	1	“Breaking the Cauldrons and Sinking the Boats” — Xiang Yu leads his army across a river to fight a much larger Qin force. After crossing, he orders all cooking cauldrons smashed and boats sunk. His army has no way to retreat and must win or die. They fight with desperate courage and win a decisive victory. Moral: Idiom means to burn bridges and commit absolutely with no retreat.
四面楚歌	C4-simianchuge	ancient chinese soldiers	C4	1	“Chu Songs on All Sides” — Xiang Yu's army is surrounded by Liu Bang's forces. At night, Liu Bang's soldiers sing folk songs from the Chu region. Xiang Yu's soldiers hear the songs and believe their homeland has fallen. Morale collapses, many desert, and Xiang Yu faces his final defeat. Moral: Idiom means being surrounded by enemies on all sides with no escape.
孔融让梨	C4-kongrongrangli	pears on plate	C4		“Kong Rong Gives Away the Bigger Pears” — Young Kong Rong is offered a plate of pears with his brothers. He deliberately chooses the smallest pear. When asked why, he says he is the youngest and should defer to his elders. His humility at age four becomes a model of filial virtue for generations. Moral: Classic lesson in humility, filial piety, and consideration for others.
一鸣惊人	C4-yimingjingren	bird singing perched	C4	1	“Amaze the World with a Single Cry” — King Zhuang of Chu neglects state affairs for three years, spending time in pleasure. A minister tells him a riddle about a bird that never sings. The king replies that the bird will soar and amaze all when it chooses to cry. King Zhuang reforms, becomes a great ruler, and makes Chu a dominant power. Moral: Idiom describes someone who surprises others with a brilliant achievement after obscurity.
悬梁刺股	C4-xuanliangcigu	oil lamp books night	C4	1	“Tying Hair to a Beam and Stabbing a Thigh” — Sun Jing ties his hair to a roof beam so that if he dozes off while studying, the jerk wakes him. Su Qin pricks his own thigh with an awl whenever he feels drowsy. Both men endure pain to stay awake and continue studying. Their extreme dedication leads them to become great scholars and statesmen. Moral: Idiom describes extreme dedication to study and self-discipline.
猴子捞月	C5-houzilaoyue	monkey reaching water reflection	C5	1	“The Monkeys Scoop the Moon” — A group of monkeys sees the moon's reflection in a well and thinks the moon has fallen in. They fear the world will be dark and decide to rescue it. They form a chain hanging from a tree branch down to the water. The branch breaks and they tumble into the water; looking up, they see the moon still in the sky. Moral: Idiom 猴子捞月 warns against wasted effort chasing an illusion.
乌鸦喝水	C5-wuyaheshui	crow and pitcher	C5		“The Crow and the Pitcher” — A thirsty crow finds a pitcher with a small amount of water at the bottom. The water level is too low for the crow to reach with its beak. The crow drops pebbles into the pitcher one by one. The water level rises and the crow drinks. Moral: Moral: clever thinking and persistence can solve difficult problems.
老鼠嫁女	C5-shuxiannvjia	chinese mouse wedding papercut	C5	1	“The Mouse Marries His Daughter” — A mouse father wants the most powerful husband in the world for his daughter. He asks the sun, but the cloud can block the sun; he asks the cloud, but the wind blows it away. He asks the wind, but a wall stops it; he asks the wall, but a mouse can gnaw through it. He realizes a mouse is best and marries his daughter to a fine young mouse. Moral: A New Year folk tale; the circular search shows everyone has a place.
鹦鹉救火	C5-yingwujiuhuo	parrot flying	C5		“The Parrot Tries to Put Out the Fire” — A parrot lives happily on a mountain full of birds and beasts. The parrot flies away, but later sees the mountain caught in a great fire. It dips its wings in water and sprinkles drops on the flames, again and again. A heavenly god, moved by its sincerity though the effort is tiny, sends rain to put out the fire. Moral: Celebrates sincere effort and loyalty to one's home, however small the deed.
狐狸和乌鸦	C5-hulihewuyu	fox and crow	C5		“The Fox and the Crow” — A crow sits on a branch with a piece of cheese in its beak. A fox approaches and praises the crow, calling it the king of birds. The fox asks the crow to sing so it can prove its beautiful voice. The crow opens its beak to sing, dropping the cheese for the fox to snatch. Moral: Moral: beware of flattery; it often conceals a selfish motive.
螳螂捕蝉	C5-tanglangbuchan	mantis and cicada branch	C5		“The Mantis Stalks the Cicada” — A cicada drinks dew high on a tree, unaware of danger. A mantis behind it raises its arms to catch the cicada, unaware of danger. A sparrow behind the mantis stretches to eat it, unaware of the boy with a slingshot below. Each pursues its gain blind to the peril at its own back. Moral: Idiom 螳螂捕蝉，黄雀在后 warns against greed that ignores hidden danger.
曾子杀猪	C5-zengzishazhu	pig farm	C5	1	“Zengzi Kills the Pig” — Zengzi's wife, going to market, tells her crying son she will kill a pig for him if he stays. When she returns, she finds Zengzi about to slaughter the family pig. She protests that she was only joking to quiet the child. Zengzi kills the pig, saying parents must never deceive children, for they learn by example. Moral: A classic lesson on honesty and keeping promises to children.
农夫与蛇	C5-nongfuyushe	snake in snow	C5		“The Farmer and the Viper” — A farmer finds a snake frozen in the winter snow. He takes pity on the snake and warms it against his chest. The snake revives and immediately bites the farmer. The dying farmer realizes that evil nature cannot be changed by kindness. Moral: Moral: some people are inherently malicious; kindness will not change them.
东郭先生	C5-dongguoxiansheng	wolf and scholar	C5	1	“Mr. Dongguo and the Wolf” — A hunted wolf begs the scholar Mr. Dongguo to hide it in his book bag. Mr. Dongguo pities the wolf and conceals it, misleading the hunter. Once safe, the ungrateful wolf wants to eat its rescuer. A passing farmer tricks the wolf back into the bag and kills it, saving the foolish scholar. Moral: Idiom 东郭先生 mocks misplaced pity toward the wicked.
曲突徙薪	C5-qutuxixin	chimney stove firewood	C5	1	“Bend the Chimney, Move the Firewood” — A guest sees a straight chimney beside a stack of firewood and warns the host of fire. He advises bending the chimney and moving the firewood away; the host ignores him. A fire breaks out, and neighbors who help fight it are thanked and feasted. Someone notes the guest whose warning would have prevented it all was never even invited. Moral: Idiom 曲突徙薪 praises prevention over praising those who clean up disasters.
神笔马良	C6-shenbimaliang	chinese calligraphy brush	C6		“Ma Liang and the Magic Brush” — A poor boy named Ma Liang loves to draw but cannot afford a brush. In a dream, an old man gives him a magic brush that brings drawings to life. He uses it to help the poor but refuses to serve a greedy official. He draws a door to escape and continues using his brush for good. Moral: Beloved classic of Chinese children's literature; celebrates creativity and justice.
田螺姑娘	C6-tianluoguniang	river snail	C6		“The Snail Maiden” — A poor farmer finds a large snail and places it in his water jar. Each day he returns from the fields to find a hot meal mysteriously prepared. He hides and discovers the snail transforms into a beautiful maiden. They marry and live happily together. Moral: Representative Chinese folk tale about kindness being rewarded.
阿凡提的故事	C6-afantidegushi	man riding donkey	C6		“The Stories of Afanti” — Afanti is a witty sage who travels on his donkey across the land. He uses clever wordplay and reverse logic to solve disputes. Greedy kings and officials try to trap him with impossible demands. Each time Afanti outsmarts them, often turning their logic against them. Moral: Beloved folk figure across Central Asia and western China; symbol of folk wisdom.
猎人海力布	C6-lierenhailibu	hunter mountain	C6		“The Hunter Hailibu” — The hunter Hailibu saves a small white snake from a predator. The snake's father, the Dragon King, gives Hailibu a gem to understand animal speech. He overhears animals discussing an impending flood but cannot reveal the secret or he will turn to stone. He chooses to warn the villagers and is petrified as a result. Moral: Teaches the value of self-sacrifice for the greater good.
十二生肖	C6-shiershengxiao	chinese zodiac animals	C6		“The Twelve Zodiac Animals” — The Jade Emperor holds a race across a river to select the zodiac animals. The rat tricks the cat and rides on the ox's back to win first place. Each animal uses its unique skills to cross the river. The order is set: Rat, Ox, Tiger, Rabbit, Dragon, Snake, Horse, Goat, Monkey, Rooster, Dog, Pig. Moral: Explains the origin of the Chinese zodiac and why the cat is not included.
宝莲灯	C6-baoliandeng	lotus lantern	C6		“The Magic Lotus Lantern” — A goddess descends to earth and marries a mortal, bearing a son named Chen Xiang. Her brother, a god, imprisons her under Mount Hua for breaking celestial law. Chen Xiang obtains the magical Lotus Lantern and trains to confront the gods. He splits the mountain with a divine axe and rescues his mother. Moral: Tale of filial devotion overcoming even divine authority.
济公	C6-jigong	buddhist monk	C6		“The Legend of Ji Gong” — Ji Gong is a Buddhist monk with a dirty, ragged appearance and eccentric behavior. He breaks monastic rules openly, eating meat and drinking wine. Despite appearances, he helps the poor, heals the sick, and battles injustice. His catchphrase is, 'Wine and meat pass through the body; the Buddha stays in the heart.' Moral: Beloved folk hero embodying the idea that true virtue transcends appearances.
孟母三迁	C6-mengmusanqian	mother child studying	C6	1	“Mencius's Mother Moves Three Times” — Mencius's mother lives near a cemetery; young Mencius imitates funeral rites. She moves near a marketplace; Mencius starts imitating merchants and butchers. She moves near a school; Mencius begins imitating scholars and studying. She stays there, and Mencius grows up to become a great Confucian philosopher. Moral: Classic lesson about the importance of environment in a child's upbringing.
年的传说	C6-niandechuanshuo	chinese new year firecrackers	C6		“The Legend of the Nian Beast” — A terrifying monster named Nian emerges each New Year's Eve to devour villagers and livestock. Every year, villagers flee to the mountains to survive. An old man discovers that Nian fears the color red, bright lights, and loud noises. People use red couplets, lanterns, and firecrackers to drive Nian away; these become Spring Festival traditions. Moral: Explains the origins of Chinese New Year customs including firecrackers and red decorations.
老虎拜师	C6-laohubaishi	tiger and cat	C6		“The Tiger Learns from the Cat” — A tiger asks a cat to teach it all the skills of hunting. The cat teaches the tiger everything except how to climb trees. One day, the tiger turns on the cat, trying to eat its master. The cat escapes by climbing a tree; the tiger never learns to climb. Moral: Folk tale about keeping a secret advantage and the danger of teaching everything to the ungrateful.
花木兰	C7-huamulan	chinese woman warrior armor	C7		“Hua Mulan Joins the Army” — The army conscripts one man from every family, but Mulan's father is old and her brother small. Mulan buys a horse and armor and rides to war disguised as a man in her father's place. She fights bravely for many years and earns great honor on the battlefield. Offered high office, she asks only to return home, where her comrades learn she is a woman. Moral: A celebrated tale of filial devotion and courage.
大闹天宫	C7-danaotiangong	monkey king sun wukong	C7		“Havoc in Heaven” — The Monkey King Sun Wukong gains great powers and is given a minor post in Heaven. Insulted by the trick, he rebels and declares himself Great Sage Equal to Heaven. He battles the heavenly armies, eats the immortal peaches, and defeats every general. Only the Buddha finally subdues him, trapping him beneath a mountain. Moral: One of the most beloved episodes of Chinese mythology.
草船借箭	C7-caochuanjiejian	chinese junk boat fog	C7	1	“Borrowing Arrows with Straw Boats” — Zhou Yu, jealous of Zhuge Liang, orders him to produce 100,000 arrows in three days. Zhuge Liang instead prepares twenty boats lined with straw bundles. On a foggy night he sails them toward the enemy camp and beats war drums. The enemy fires countless arrows into the straw; Zhuge Liang returns with more than enough. Moral: Idiom 草船借箭 celebrates wit that turns an enemy's strength to one's own use.
武松打虎	C7-wusongdahu	tiger in forest	C7		“Wu Song Fights the Tiger” — Wu Song drinks heavily at an inn and ignores warnings of a man-eating tiger on the ridge. Climbing the hill at dusk, he suddenly meets the great tiger. He dodges its lunges, and his wooden staff shatters against a tree. With his bare hands he pins the tiger's head and beats it to death, saving the district. Moral: A famous display of courage and strength from the Water Margin.
岳母刺字	C7-yuemucizi	chinese calligraphy tattoo back	C7	1	“Yue Fei's Mother Tattoos His Back” — Young Yue Fei wishes to serve his country as invaders threaten the Song. His mother, to strengthen his resolve, tattoos four characters on his back. The words read 尽忠报国 — 'serve the country with utter loyalty.' Yue Fei grows into a great general, carrying his mother's charge all his life. Moral: A revered emblem of patriotism and a mother's teaching.
